,Date,Sensor_ID,CO2_Room,CO_Room,H2_Room,Humidity_Room,PM05_Room,PM100_Room,PM10_Room,PM25_Room,PM40_Room,PM_Room_Typical_Size,PM_Total_Room,Temperature_Room,VOC_Room,VOC_Room_RAW,scenario_label,class,number_label,UV_Room,Interval_label,CO2_Room_Trend,CO_Room_Trend,H2_Room_Trend,PM05_Room_Trend,PM10_Room_Trend,PM25_Room_Trend,PM40_Room_Trend,PM100_Room_Trend,PM_Room_Typical_Size_Trend,VOC_Room_RAW_Trend
16,40,sensornode0005,590.4,3.43,0.24,42.47,41,0,6,0,0,0.49,48,24.7,142.6,3.92,Ventilation,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
17,40,sensornode0006,603,25.52,0.63,42.17,35,0,5,0,0,0.5,41,25.04,174.8,4.33,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
18,40,sensornode0007,782.7,20.97,0.31,42.98,43,0,6,0,0,0.53,50,24.83,186,6.12,Ventilation,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
19,40,sensornode0008,653.1,20.29,0.46,43.21,44,0,6,0,0,0.45,51,24.27,163.6,5.09,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
20,50,sensornode0005,589.6,23.99,0.11,42.44,41,0,6,0,0,0.48,48,24.71,174.4,4.05,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
21,50,sensornode0006,603.2,25.52,0.63,42.13,35,0,5,0,0,0.5,40,25.07,196.2,4.34,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
22,50,sensornode0007,782.7,20.97,0.31,42.97,42,0,6,0,0,0.53,49,24.83,215.6,6.11,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
23,50,sensornode0008,651.4,20.29,0.46,43,41,0,5,0,0,0.44,47,24.36,183.8,5.11,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
24,60,sensornode0005,582.6,23.99,0.11,42.41,40,0,6,0,0,0.48,47,24.73,194.4,4.08,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
25,60,sensornode0006,603.3,34.21,0.56,42.11,33,0,5,0,0,0.5,39,25.1,209,4.31,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
26,60,sensornode0007,787.1,29.97,0.25,42.93,41,0,6,0,0,0.54,48,24.84,234,6.15,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
27,60,sensornode0008,648.2,27.13,0.43,42.84,38,0,5,0,0,0.45,43,24.44,196.6,5.14,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
28,70,sensornode0005,579.3,30.74,0,42.37,38,0,6,0,0,0.49,44,24.75,207,4.07,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
29,70,sensornode0006,602.9,34.21,0.56,42.06,32,0,5,0,0,0.5,37,25.12,217.4,4.36,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
30,70,sensornode0007,792.1,29.97,0.25,42.91,40,0,6,0,0,0.54,47,24.88,245.2,6.17,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
31,70,sensornode0008,671.2,27.13,0.43,42.69,36,0,5,0,0,0.46,42,24.52,204.6,5.14,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
32,80,sensornode0005,580,30.74,0,42.33,37,0,6,0,0,0.49,43,24.78,214,4.03,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
33,80,sensornode0006,602,36.47,0.51,42.03,30,0,4,0,0,0.51,35,25.13,222.4,4.32,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
34,80,sensornode0007,793.7,31.98,0.22,42.89,38,0,6,0,0,0.54,45,24.87,250.8,6.15,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
35,80,sensornode0008,677.4,28.42,0.39,42.56,36,0,5,0,0,0.46,41,24.58,209.2,5.12,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
36,90,sensornode0005,579.6,32.3,-0.06,42.31,36,0,5,0,0,0.49,41,24.79,218.4,4.03,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
37,90,sensornode0006,602,36.47,0.51,42,27,0,4,0,0,0.51,31,25.15,225.4,4.37,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
38,90,sensornode0007,797.4,31.98,0.22,42.89,38,0,6,0,0,0.55,45,24.88,253.6,6.12,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
39,90,sensornode0008,655.9,28.42,0.39,42.43,35,0,5,0,0,0.46,40,24.63,212.2,5.17,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
40,100,sensornode0005,579.9,32.3,-0.06,42.29,32,0,5,0,0,0.48,38,24.83,220.8,4.03,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
41,100,sensornode0006,602.4,37.01,0.47,42.01,25,0,4,0,0,0.5,29,25.17,227.4,4.34,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
42,100,sensornode0007,799.8,32.6,0.18,42.87,37,0,5,0,0,0.54,43,24.92,254.8,6.14,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
43,100,sensornode0008,670.6,28.77,0.33,42.33,34,0,4,0,0,0.46,40,24.67,214.4,5.16,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
44,110,sensornode0005,574.3,32.76,-0.17,42.24,30,0,4,0,0,0.48,34,24.83,223,4.07,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
45,110,sensornode0006,600.6,37.01,0.47,41.98,26,0,4,0,0,0.5,30,25.18,228.2,4.34,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
46,110,sensornode0007,798.9,32.6,0.18,42.84,36,0,5,0,0,0.54,42,24.92,256,6.14,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
47,110,sensornode0008,653,28.77,0.33,42.24,34,0,4,0,0,0.46,39,24.72,215.4,5.18,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
48,120,sensornode0005,561.5,32.76,-0.17,42.22,29,0,4,0,0,0.48,34,24.86,224.2,4.06,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
49,120,sensornode0006,600.9,37.34,0.44,41.97,24,0,3,0,0,0.5,28,25.18,229.4,4.38,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
50,120,sensornode0007,800,32.42,0.14,42.83,33,0,5,0,0,0.54,38,24.92,256.6,6.17,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
51,120,sensornode0008,649.5,29.29,0.28,42.16,33,0,4,0,0,0.45,37,24.76,216.6,5.27,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
52,130,sensornode0005,560.8,32.7,-0.28,42.2,29,0,4,0,0,0.47,34,24.87,225.4,4.18,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
53,130,sensornode0006,599.8,37.34,0.44,41.96,24,0,3,0,0,0.5,28,25.2,237.4,6.25,CO,1,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
54,130,sensornode0007,799.9,32.42,0.14,42.85,32,0,5,0,0,0.54,38,24.93,257.4,7.19,CO,1,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
55,130,sensornode0008,648.6,29.29,0.28,42.06,30,0,4,0,0,0.44,35,24.82,225.6,7.06,CO,1,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
56,140,sensornode0005,560.5,32.7,-0.28,42.17,28,0,4,0,0,0.47,32,24.89,233,5.21,CO,1,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
57,140,sensornode0006,599.3,51.31,0.39,41.93,24,0,3,0,0,0.5,28,25.22,246.2,6.76,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
58,140,sensornode0007,797.3,40.5,0.1,42.86,31,0,5,0,0,0.54,36,24.94,261,9.2,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
59,140,sensornode0008,626,40.82,0.29,42.01,27,0,3,0,0,0.44,31,24.85,238.8,8.02,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
60,150,sensornode0005,557.4,44.7,-0.31,42.15,24,0,3,0,0,0.47,28,24.91,242.8,6.02,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
61,150,sensornode0006,600,51.31,0.39,41.93,23,0,3,0,0,0.5,27,25.22,248.8,6.6,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
62,150,sensornode0007,796.7,40.5,0.1,42.83,29,0,4,0,0,0.55,34,24.95,274,9.13,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
63,150,sensornode0008,647.6,40.82,0.29,41.97,25,0,3,0,0,0.45,28,24.87,241.4,8.17,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
64,160,sensornode0005,559.1,44.7,-0.31,42.11,23,0,3,0,0,0.46,26,24.93,245.2,6.09,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
65,160,sensornode0006,597.8,68.3,0.38,41.9,23,0,3,0,0,0.5,27,25.23,254.4,6.5,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
66,160,sensornode0007,773.8,59.63,0.12,42.82,28,0,4,0,0,0.54,33,24.95,287.8,9.09,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
67,160,sensornode0008,668.1,53.27,0.25,41.92,24,0,3,0,0,0.45,28,24.9,244.2,8.2,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
68,170,sensornode0005,560.9,57.89,-0.34,42.11,25,0,4,0,0,0.47,29,24.93,248,6.07,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
69,170,sensornode0006,598.4,68.3,0.38,41.9,23,0,3,0,0,0.5,27,25.24,261.6,6.5,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
70,170,sensornode0007,784.9,59.63,0.12,42.83,28,0,4,0,0,0.54,32,24.96,297,9.04,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
71,170,sensornode0008,667.3,53.27,0.25,41.85,22,0,3,0,0,0.45,26,24.94,250.4,8.19,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
72,180,sensornode0005,559.5,57.89,-0.34,42.08,25,0,4,0,0,0.46,30,24.95,253.4,6.03,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
73,180,sensornode0006,597.5,73.03,0.36,41.9,23,0,3,0,0,0.5,27,25.25,268.4,6.54,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
74,180,sensornode0007,795.6,64.98,0.09,42.83,26,0,4,0,0,0.54,30,24.95,302.6,9.09,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
75,180,sensornode0008,676.9,56.94,0.21,41.83,21,0,3,0,0,0.45,24,24.96,257.6,8.19,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
76,190,sensornode0005,562.1,61.79,-0.38,42.06,24,0,3,0,0,0.46,28,24.97,259,6.03,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
77,190,sensornode0006,596.9,73.03,0.36,41.88,20,0,3,0,0,0.51,23,25.25,273,6.51,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
78,190,sensornode0007,797.7,64.98,0.09,42.83,23,0,3,0,0,0.54,27,24.97,305.8,9.04,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
79,190,sensornode0008,669.3,56.94,0.21,41.76,19,0,2,0,0,0.45,22,24.98,264,8.19,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
80,200,sensornode0005,559.2,61.79,-0.38,42.05,22,0,3,0,0,0.46,26,24.98,264.2,6.01,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
81,200,sensornode0006,596,74.26,0.33,41.89,19,0,3,0,0,0.5,23,25.27,276.8,6.44,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
82,200,sensornode0007,799.2,66.01,0.09,42.79,23,0,3,0,0,0.54,27,24.99,307.8,9.03,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
83,200,sensornode0008,669.8,57.87,0.18,41.73,19,0,2,0,0,0.45,22,25.01,269,8.21,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
84,210,sensornode0005,561.9,62.67,-0.44,42.03,22,0,3,0,0,0.45,25,24.99,268.4,6.02,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
85,210,sensornode0006,595.9,74.26,0.33,41.88,21,0,3,0,0,0.51,24,25.27,279.2,6.51,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
86,210,sensornode0007,801.4,66.01,0.09,42.78,25,0,4,0,0,0.54,29,25.01,308.8,9.04,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
87,210,sensornode0008,669.8,57.87,0.18,41.69,19,0,2,0,0,0.44,21,25.03,272.6,8.21,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
88,220,sensornode0005,564,62.67,-0.44,25.22,22,0,3,0,0,0.44,26,15,271.4,6.04,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
89,220,sensornode0006,595.5,74.53,0.3,41.88,20,0,3,0,0,0.51,23,25.28,280.6,6.43,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
90,220,sensornode0007,793.7,66.39,0.12,42.75,23,0,3,0,0,0.54,27,25.02,309,9.01,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
91,220,sensornode0008,640.7,58.18,0.16,41.65,19,0,2,0,0,0.44,21,25.05,274.8,8.16,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
92,230,sensornode0005,563.5,62.78,-0.46,42.03,21,0,3,0,0,0.44,25,25,273.8,5.99,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
93,230,sensornode0006,596.7,74.53,0.3,41.89,16,0,2,0,0,0.5,19,25.27,281.4,6.46,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
94,230,sensornode0007,793.4,66.39,0.12,42.73,22,0,3,0,0,0.54,26,25.03,309,9.02,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
95,230,sensornode0008,639.7,58.18,0.16,41.62,19,0,2,0,0,0.44,21,25.08,276.4,8.24,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
96,240,sensornode0005,560.4,62.78,-0.46,33.6,20,0,3,0,0,0.45,24,20.02,276.2,6.26,CO,2,,,0,-0.576666666666667,0.933333333333333,-0.96,-0.926666666666667,-0.773333333333333,0,0,0,-0.766666666666667,0.726666666666667
97,240,sensornode0006,597.7,74.51,0.28,41.87,15,0,2,0,0,0.5,18,25.28,285,7.41,CO,2,,,0,-0.876666666666667,0.92,-0.96,-0.936666666666667,-0.756666666666667,0,0,0,0.296666666666667,0.696666666666667
98,240,sensornode0007,795,66.44,0.06,42.75,22,0,3,0,0,0.54,25,25.02,311.2,10.34,CO,2,,,0,0.32,0.906666666666667,-0.826666666666667,-0.966666666666667,-0.826666666666667,0,0,0,0.14,0.583333333333333
99,240,sensornode0008,667.6,58.97,0.14,41.59,19,0,2,0,0,0.44,22,25.09,281.6,9.64,CO,2,,,0,-0.0366666666666667,0.96,-0.933333333333333,-0.936666666666667,-0.85,0,0,0,-0.123333333333333,0.896666666666667
100,250,sensornode0005,564.8,65.79,-0.49,41.99,21,0,3,0,0,0.45,24,25.03,282.2,7.09,CO,2,,,1,0.263333333333333,0.813333333333333,-0.426666666666667,-0.44,-0.283333333333333,0,0,0,-0.153333333333333,0.263333333333333
101,250,sensornode0006,598,74.51,0.28,41.88,15,0,2,0,0,0.5,18,25.29,295,8.11,CO,2,,,1,0.203333333333333,0.8,-0.866666666666667,-0.106666666666667,0.123333333333333,0,0,0,-0.57,0.17
102,250,sensornode0007,798.1,66.44,0.06,42.73,22,0,3,0,0,0.54,26,25.03,320.2,11.18,CO,2,,,1,0.0866666666666667,0.8,0.306666666666667,-0.456666666666667,-0.19,0,0,0,-0.77,0.0233333333333333
103,250,sensornode0008,676.9,58.97,0.14,41.59,19,0,2,0,0,0.44,21,25.09,292.8,10.35,CO,2,,,1,-0.403333333333333,0.72,-0.773333333333333,-0.403333333333333,-0.02,0,0,0,0.176666666666667,0.133333333333333
104,260,sensornode0005,564.3,65.79,-0.49,41.95,21,0,3,0,0,0.44,25,25.05,292,7.45,CO,2,,,1,0.263333333333333,0.813333333333333,-0.426666666666667,-0.44,-0.283333333333333,0,0,0,-0.153333333333333,0.263333333333333
105,260,sensornode0006,598,97.78,0.25,41.87,15,0,2,0,0,0.51,18,25.3,303.8,8.13,CO,3,,,1,0.203333333333333,0.8,-0.866666666666667,-0.106666666666667,0.123333333333333,0,0,0,-0.57,0.17
106,260,sensornode0007,805.2,87.81,0.06,42.73,23,0,3,0,0,0.53,27,25.04,325.6,11.15,CO,2,,,1,0.0866666666666667,0.8,0.306666666666667,-0.456666666666667,-0.19,0,0,0,-0.77,0.0233333333333333
107,260,sensornode0008,690.1,77.22,0.12,41.57,18,0,2,0,0,0.45,21,25.11,301.2,10.41,CO,3,,,1,-0.403333333333333,0.72,-0.773333333333333,-0.403333333333333,-0.02,0,0,0,0.176666666666667,0.133333333333333
108,270,sensornode0005,566.4,83.66,-0.49,41.94,20,0,3,0,0,0.45,24,25.06,299.8,7.44,CO,3,,,1,0.263333333333333,0.813333333333333,-0.426666666666667,-0.44,-0.283333333333333,0,0,0,-0.153333333333333,0.263333333333333
